type,lat,lon,activity_score
fuel,-1.9547666999999995,30.073444,1
fuel,-1.9526616,30.073762099999993,1
restaurant,-1.9472923000000002,30.065953000000004,1
school,-1.9512745000000002,30.0598357,1
restaurant,-1.9522126,30.081546899999992,1
hotel,-1.946264,30.092064299999993,1
fuel,-1.9465771,30.061051199999998,1
restaurant,-1.955897,30.065457900000002,1
fuel,-1.9493215,30.020004500000002,1
fuel,-1.9489959000000001,30.0218688,1
fuel,-1.9411903000000001,30.042979399999997,1
hotel,-1.9599921000000002,30.0682894,1
information,-1.946789,30.060917,1
diplomatic,-1.9530975,30.068037299999997,1
restaurant,-1.9469863999999995,30.0628391,1
place_of_worship,-1.9509535,30.062918,1
fuel,-1.9454237000000003,30.0577885,1
fuel,-1.9474263999999994,30.0925578,1
diplomatic,-1.9458,30.103436499999997,1
fuel,-1.9803924000000002,30.2246168,1
fuel,-1.9597450999999995,30.117151599999996,1
fuel,-1.9847135,30.186774600000003,1
fuel,-1.9689973,30.168832599999998,1
fuel,-1.9526316,30.241948999999998,1
marketplace,-1.9814931000000002,30.1044117,1
works,-1.9619266999999998,30.0042427,1
supermarket,-1.9654180000000003,30.0805112,1
fuel,-1.9676823,30.0826474,1
place_of_worship,-1.9438321999999995,30.065213600000003,1
place_of_worship,-1.943472,30.064860999999997,1
fuel,-1.943855,30.072208900000003,1
works,-1.9155473,30.111594999999994,1
school,-1.9565223,30.145105600000004,1
company,-1.9455784999999997,30.06013,1
supermarket,-1.9460621000000002,30.059904300000003,1
supermarket,-1.9458437,30.0615291,1
fuel,-1.9447886999999997,30.0596034,1
doityourself,-1.9427185,30.060411,1
doityourself,-1.9430633999999996,30.059472200000002,1
doityourself,-1.9432216000000002,30.059257699999993,1
supermarket,-1.9458714999999998,30.05578029999999,1
hotel,-1.9528484,30.0574064,1
books,-1.9485917,30.059257800000005,1
bank,-1.951466,30.062500999999997,1
doityourself,-1.9521082,30.057158100000002,1
restaurant,-1.9571198,30.109457599999995,1
fuel,-1.9408318,30.0431581,1
fuel,-1.9385599000000002,30.0437693,1
hotel,-1.9794787,30.0401562,1
nightclub,-1.9795484,30.0402019,1
biergarten,-1.9789955,30.040593299999994,1
biergarten,-1.9790662,30.040522700000004,1
bank,-1.9471565,30.0600806,1
cafe,-1.9455336,30.061501700000004,1
townhall,-1.9389379999999998,30.0817494,1
place_of_worship,-1.9779613999999999,30.1128279,1
place_of_worship,-1.9856038,30.111897399999997,1
townhall,-1.9845955999999996,30.103490800000003,1
public_building,-1.974616,30.1135577,1
hotel,-1.9736965999999998,30.106564999999996,1
school,-1.9876921,30.100602499999994,1
school,-1.9130328999999997,30.0871395,1
